player,team,pos,bye,adp,adp_source,proj_points,games,archetype,risk,note
Quinshon Judkins,CLE,RB,11,49.0,ffcalc-ppr-12tm-2026-07-25,208.3,17,three-down bell cow,low,three-down bell cow; 275 carries + 30 catches projected
Mike Evans,SF,WR,8,50.1,ffcalc-ppr-12tm-2026-07-25,206.5,17,big slot,low,big slot; 69 catches for 955 yards projected
Tyler Warren,IND,TE,13,53.8,ffcalc-ppr-12tm-2026-07-25,191.6,17,move TE,low,move TE; 78 catches for 836 yards projected
Rome Odunze,CHI,WR,10,54.8,ffcalc-ppr-12tm-2026-07-25,201.5,17,field-stretching Z,low,field-stretching Z; 65 catches for 945 yards projected
Lamar Jackson,BAL,QB,13,55.3,ffcalc-ppr-12tm-2026-07-25,318.8,17,rushing QB,low,rushing QB; 646 rushing yards projected
David Montgomery,HOU,RB,8,55.6,ffcalc-ppr-12tm-2026-07-25,199.9,17,early-down committee back,high,early-down committee back; 217 carries + 34 catches projected
DK Metcalf,PIT,WR,9,57.4,ffcalc-ppr-12tm-2026-07-25,197.4,17,field-stretching Z,low,field-stretching Z; 67 catches for 944 yards projected
TreVeyon Henderson,NE,RB,11,57.7,ffcalc-ppr-12tm-2026-07-25,197.3,17,early-down committee back,high,early-down committee back; 182 carries + 36 catches projected
Dak Prescott,DAL,QB,14,59.6,ffcalc-ppr-12tm-2026-07-25,295.3,17,pocket QB,med,pocket QB; 161 rushing yards projected
Christian Watson,GB,WR,11,60.0,ffcalc-ppr-12tm-2026-07-25,205.2,17,field-stretching Z,low,field-stretching Z; 65 catches for 982 yards projected
Bhayshul Tuten,JAC,RB,7,60.7,ffcalc-ppr-12tm-2026-07-25,226.3,17,three-down bell cow,med,three-down bell cow; 257 carries + 38 catches projected
Drake Maye,NE,QB,11,62.3,ffcalc-ppr-12tm-2026-07-25,324.9,17,rushing QB,low,rushing QB; 433 rushing yards projected
Carnell Tate,TEN,WR,9,62.3,ffcalc-ppr-12tm-2026-07-25,181.7,17,big slot,med,big slot; 65 catches for 867 yards projected
Alec Pierce,IND,WR,13,62.4,ffcalc-ppr-12tm-2026-07-25,197.7,17,field-stretching Z,low,field-stretching Z; 66 catches for 1017 yards projected
Jaylen Warren,PIT,RB,9,64.3,ffcalc-ppr-12tm-2026-07-25,201.3,17,early-down committee back,high,early-down committee back; 190 carries + 41 catches projected
Marvin Harrison Jr.,ARI,WR,14,66.1,ffcalc-ppr-12tm-2026-07-25,193.3,17,field-stretching Z,low,field-stretching Z; 64 catches for 933 yards projected
D.J. Moore,BUF,WR,7,66.8,ffcalc-ppr-12tm-2026-07-25,207.0,17,big slot,med,big slot; 71 catches for 955 yards projected
Harold Fannin Jr.,CLE,TE,11,68.4,ffcalc-ppr-12tm-2026-07-25,187.1,17,move TE,low,move TE; 77 catches for 801 yards projected
Tony Pollard,TEN,RB,9,70.5,ffcalc-ppr-12tm-2026-07-25,197.2,17,three-down bell cow,med,three-down bell cow; 242 carries + 32 catches projected
Michael Pittman Jr.,PIT,WR,9,70.5,ffcalc-ppr-12tm-2026-07-25,193.7,17,big slot,low,big slot; 76 catches for 877 yards projected
Rhamondre Stevenson,NE,RB,11,71.3,ffcalc-ppr-12tm-2026-07-25,181.7,17,early-down committee back,high,early-down committee back; 163 carries + 38 catches projected
Jadarian Price,SEA,RB,11,72.1,ffcalc-ppr-12tm-2026-07-25,185.3,17,early-down committee back,high,early-down committee back; 195 carries + 31 catches projected
Courtland Sutton,DEN,WR,10,72.4,ffcalc-ppr-12tm-2026-07-25,189.8,17,big slot,low,big slot; 63 catches for 848 yards projected
Sam LaPorta,DET,TE,6,72.8,ffcalc-ppr-12tm-2026-07-25,163.5,17,move TE,low,move TE; 60 catches for 735 yards projected
Tucker Kraft,GB,TE,11,73.3,ffcalc-ppr-12tm-2026-07-25,159.4,17,move TE,low,move TE; 57 catches for 724 yards projected
Parker Washington,JAC,WR,7,73.8,ffcalc-ppr-12tm-2026-07-25,158.6,17,big slot,high,big slot; 58 catches for 766 yards projected
Chris Godwin,TB,WR,10,79.0,ffcalc-ppr-12tm-2026-07-25,175.9,17,big slot,low,big slot; 68 catches for 779 yards projected
Rico Dowdle,PIT,RB,9,79.1,ffcalc-ppr-12tm-2026-07-25,166.4,17,early-down committee back,high,early-down committee back; 186 carries + 30 catches projected
Chuba Hubbard,CAR,RB,5,79.9,ffcalc-ppr-12tm-2026-07-25,188.5,17,early-down committee back,med,early-down committee back; 217 carries + 34 catches projected
Justin Herbert,LAC,QB,7,80.8,ffcalc-ppr-12tm-2026-07-25,290.8,17,rushing QB,med,rushing QB; 427 rushing yards projected
Jordyn Tyson,NO,WR,8,82.7,ffcalc-ppr-12tm-2026-07-25,163.3,17,big slot,med,big slot; 61 catches for 783 yards projected
Michael Wilson,ARI,WR,14,83.2,ffcalc-ppr-12tm-2026-07-25,172.2,17,big slot,low,big slot; 66 catches for 822 yards projected
Brian Thomas Jr.,JAC,WR,7,83.2,ffcalc-ppr-12tm-2026-07-25,167.4,17,field-stretching Z,low,field-stretching Z; 56 catches for 814 yards projected
Kyle Pitts,ATL,TE,11,85.2,ffcalc-ppr-12tm-2026-07-25,185.6,17,move TE,low,move TE; 76 catches for 856 yards projected
Jayden Daniels,WAS,QB,7,85.4,ffcalc-ppr-12tm-2026-07-25,309.0,17,rushing QB,low,rushing QB; 642 rushing yards projected
Trevor Lawrence,JAC,QB,7,86.0,ffcalc-ppr-12tm-2026-07-25,290.0,17,pocket QB,med,pocket QB; 301 rushing yards projected
Jayden Reed,GB,WR,11,86.4,ffcalc-ppr-12tm-2026-07-25,184.3,17,big slot,med,big slot; 66 catches for 815 yards projected
Josh Downs,IND,WR,13,87.5,ffcalc-ppr-12tm-2026-07-25,168.7,17,big slot,low,big slot; 71 catches for 737 yards projected
Patrick Mahomes,KC,QB,5,88.1,ffcalc-ppr-12tm-2026-07-25,288.7,17,pocket QB,med,pocket QB; 315 rushing yards projected
Wan'Dale Robinson,TEN,WR,9,91.0,ffcalc-ppr-12tm-2026-07-25,180.6,17,big slot,med,big slot; 77 catches for 796 yards projected
RJ Harvey,DEN,RB,10,91.6,ffcalc-ppr-12tm-2026-07-25,165.9,17,early-down committee back,high,early-down committee back; 121 carries + 44 catches projected
Jordan Addison,MIN,WR,6,92.9,ffcalc-ppr-12tm-2026-07-25,163.8,17,big slot,low,big slot; 55 catches for 769 yards projected
Travis Kelce,KC,TE,5,93.3,ffcalc-ppr-12tm-2026-07-25,180.1,17,move TE,low,move TE; 73 catches for 771 yards projected
Jalen Hurts,PHI,QB,10,93.7,ffcalc-ppr-12tm-2026-07-25,313.8,17,rushing QB,med,rushing QB; 456 rushing yards projected
J.K. Dobbins,DEN,RB,10,93.9,ffcalc-ppr-12tm-2026-07-25,173.2,17,early-down committee back,high,early-down committee back; 206 carries + 16 catches projected
Seattle Seahawks,SEA,DST,11,94.5,ffcalc-ppr-12tm-2026-07-25,111.6,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets
Jakobi Meyers,JAC,WR,7,95.0,ffcalc-ppr-12tm-2026-07-25,177.1,17,big slot,med,big slot; 67 catches for 782 yards projected
Jared Goff,DET,QB,6,95.2,ffcalc-ppr-12tm-2026-07-25,291.4,17,pocket QB,low,pocket QB; 50 rushing yards projected
Aaron Jones,MIN,RB,6,95.5,ffcalc-ppr-12tm-2026-07-25,148.0,17,early-down committee back,high,early-down committee back; 143 carries + 37 catches projected
Quentin Johnston,LAC,WR,7,98.8,ffcalc-ppr-12tm-2026-07-25,156.7,17,field-stretching Z,low,field-stretching Z; 50 catches for 707 yards projected
Brock Purdy,SF,QB,8,99.1,ffcalc-ppr-12tm-2026-07-25,287.0,17,pocket QB,low,pocket QB; 286 rushing yards projected
Kenneth Gainwell,TB,RB,10,99.1,ffcalc-ppr-12tm-2026-07-25,138.4,17,passing-down back,high,passing-down back; 100 carries + 37 catches projected
Xavier Worthy,KC,WR,5,100.0,ffcalc-ppr-12tm-2026-07-25,168.1,17,big slot,low,big slot; 57 catches for 735 yards projected
Ricky Pearsall,SF,WR,8,101.0,ffcalc-ppr-12tm-2026-07-25,152.7,17,big slot,low,big slot; 54 catches for 747 yards projected
Denver Broncos,DEN,DST,10,101.4,ffcalc-ppr-12tm-2026-07-25,117.8,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets
Rachaad White,WAS,RB,7,103.0,ffcalc-ppr-12tm-2026-07-25,175.9,17,early-down committee back,high,early-down committee back; 141 carries + 44 catches projected
Khalil Shakir,BUF,WR,7,103.3,ffcalc-ppr-12tm-2026-07-25,172.6,17,big slot,med,big slot; 72 catches for 766 yards projected
Kyle Monangai,CHI,RB,10,103.6,ffcalc-ppr-12tm-2026-07-25,137.7,17,early-down committee back,high,early-down committee back; 176 carries + 20 catches projected
Matthew Stafford,LAR,QB,11,103.8,ffcalc-ppr-12tm-2026-07-25,285.9,17,pocket QB,low,pocket QB; 22 rushing yards projected
Romeo Doubs,NE,WR,11,103.8,ffcalc-ppr-12tm-2026-07-25,163.9,17,big slot,low,big slot; 58 catches for 759 yards projected
Makai Lemon,PHI,WR,10,104.1,ffcalc-ppr-12tm-2026-07-25,120.8,17,big slot,med,big slot; 47 catches for 558 yards projected
Los Angeles Rams,LAR,DST,11,106.0,ffcalc-ppr-12tm-2026-07-25,80.5,17,,med,team defense; scoring adjusted for this league's yards-allowed brackets
George Kittle,SF,TE,8,106.5,ffcalc-ppr-12tm-2026-07-25,138.5,17,move TE,med,move TE; 53 catches for 615 yards projected
Caleb Williams,CHI,QB,10,106.8,ffcalc-ppr-12tm-2026-07-25,300.0,17,rushing QB,med,rushing QB; 412 rushing yards projected
Houston Texans,HOU,DST,8,109.3,ffcalc-ppr-12tm-2026-07-25,128.3,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets
Matthew Golden,GB,WR,11,113.6,ffcalc-ppr-12tm-2026-07-25,154.2,17,big slot,low,big slot; 54 catches for 702 yards projected
New England Patriots,NE,DST,11,115.2,ffcalc-ppr-12tm-2026-07-25,87.4,17,,low,team defense; scoring adjusted for this league's yards-allowed brackets
Jalen Coker,CAR,WR,5,117.8,ffcalc-ppr-12tm-2026-07-25,112.1,17,big slot,med,big slot; 42 catches for 521 yards projected
Bo Nix,DEN,QB,10,117.9,ffcalc-ppr-12tm-2026-07-25,298.2,17,rushing QB,med,rushing QB; 362 rushing yards projected
Jake Ferguson,DAL,TE,14,118.0,ffcalc-ppr-12tm-2026-07-25,159.5,17,move TE,low,move TE; 71 catches for 585 yards projected
KC Concepcion,CLE,WR,11,119.9,ffcalc-ppr-12tm-2026-07-25,153.6,17,big slot,low,big slot; 58 catches for 752 yards projected
Blake Corum,LAR,RB,11,120.1,ffcalc-ppr-12tm-2026-07-25,132.4,17,goal-line back,high,goal-line back; 159 carries + 13 catches projected
