player,pos,csv_team,nfl_team,age,years_exp,draft_year,draft_overall,draft_club,college,g_2023,g_2024,g_2025,games_played_3yr,games_possible_3yr,games_missed_3yr,seasons_unmatched,avail,avail_basis,inj_weeks_out_3yr,inj_weeks_qd_3yr,missed_off_injury_report,inj_parts_3yr,snap_pct_2025,carries_2025,targets_2025,receptions_2025,tgt_share_2025,rush_yards_2025,rec_yards_2025,pass_yards_2025,contract_value,contract_apy,contract_gtd,contract_free_agent,source
Parker Washington,WR,JAC,JAX,24.5,3,2023,185,JAX,Penn State,8,14,16,38,51,13,,0.771,history,1,3,12,Knee (2); Hip (2),61.9,7,95,58,17.4,0,847,0,"$4,032,264","$1,008,066","$192,264",2027 UFA,nflverse 2026-07-25
Pat Freiermuth,TE,PIT,PIT,27.9,5,2021,55,PIT,Penn State,11,17,15,43,51,8,,0.842,history,2,1,6,Hamstring (3),51.3,0,54,41,10.3,0,486,0,"$48,400,000","$12,100,000","$22,385,000",2029 UFA,nflverse 2026-07-25
Patrick Mahomes,QB,KC,KC,31.0,9,2017,10,KC,Texas Tech,16,16,14,46,51,5,,0.878,history,0,2,5,Ankle (2),97.4,64,1,1,0.2,422,-10,3587,"$448,000,000","$64,000,000","$182,800,000",2034 Void,nflverse 2026-07-25
Puka Nacua,WR,LAR,LA,25.3,3,2023,177,LAR,BYU; Washington,17,11,16,44,51,7,,0.859,history,1,7,6,Knee (3); Oblique (2); Hip (1),70.5,10,166,129,28.6,105,1715,0,"$4,084,980","$1,021,245","$244,980",2027 UFA,nflverse 2026-07-25
Quentin Johnston,WR,LAC,LAC,25.0,3,2023,21,LAC,TCU,17,15,13,45,51,6,,0.874,history,0,6,6,Ankle (2); Groin (2); Hamstring (1),76.9,2,84,51,15.4,7,735,0,"$14,188,786","$3,547,197","$14,188,786",2028 UFA,nflverse 2026-07-25
Quinshon Judkins,RB,CLE,CLE,22.9,1,2025,36,CLE,Ohio State; Mississippi,,,14,14,17,3,,0.823,history,0,1,3,Not injury related - personal matter (1),50.5,230,36,26,6.9,827,171,0,"$11,402,116","$2,850,529","$11,402,116",2029 UFA,nflverse 2026-07-25
RJ Harvey,RB,DEN,DEN,25.6,1,2025,60,DEN,UCF; Virginia,,,17,17,17,0,,0.912,history,0,0,0,,43.7,146,58,47,9.9,540,356,0,"$7,359,674","$1,839,919","$4,727,294",2029 UFA,nflverse 2026-07-25
Rachaad White,RB,WAS,WAS,27.7,4,2022,91,TB,Arizona State; Mt. San Antonio; Kearney State,17,15,17,49,51,2,,0.926,history,0,4,2,Foot (2); Knee (1); Illness (1),51.1,132,45,40,8.3,572,218,0,"$2,000,000","$2,000,000","$1,715,000",2027 UFA,nflverse 2026-07-25
Rashee Rice,WR,KC,KC,26.4,3,2023,55,KC,SMU,16,4,8,28,51,23,,0.624,history,2,0,21,Hamstring (1); Concussion (1),74.9,5,78,53,14.2,20,571,0,"$6,495,218","$1,623,805","$3,519,033",2027 UFA,nflverse 2026-07-25
Rashid Shaheed,WR,SEA,SEA,28.0,4,2022,,,Weber State,15,6,18,39,51,12,,0.786,history,2,2,10,Thigh (2); Knee (1); Hip (1),59.6,9,92,59,16.3,69,687,0,"$51,000,000","$17,000,000","$34,735,000",2029 Void,nflverse 2026-07-25
