franchise,name,role,alloc_mpg,a,expected_team_game_minutes,expected_gp,gp_lo,gp_hi,high_uncertainty,pid,key
DAL,Morez Johnson,rotation,23.2,0.72,16.704,62.0,49.0,73.0,True,,name::DAL::morez johnson
DAL,Ryan Nembhard,deep,22.6,0.35,7.91,59.0,44.0,72.0,True,1642948.0,1642948
DAL,Dereck Lively II,rotation,19.4,0.32937966365965027,6.389965474997215,42.0,26.0,58.0,True,1641726.0,1641726
DAL,Caleb Martin,deep,18.6,0.22400000000000003,4.166400000000001,37.0,20.0,54.0,True,1628997.0,1628997
DAL,John Poulakidas,deep,22.4,0.15853658536585366,3.5512195121951216,24.0,10.0,39.0,True,1642967.0,1642967
DAL,Marcus Sasser,deep,16.7,0.17920000000000003,2.99264,30.0,15.0,44.0,True,1631204.0,1631204
DAL,Tyler Smith,deep,16.6,0.14336000000000002,2.3797760000000006,22.0,10.0,34.0,True,1641890.0,1641890
DAL,Toibu Lawal,deep,13.7,0.11468800000000003,1.5712256000000002,18.0,7.0,30.0,True,,name::DAL::toibu lawal
DAL,Vsevolod Ishchenko,deep,13.7,0.09175040000000002,1.2569804800000002,16.0,7.0,29.0,True,,name::DAL::vsevolod ishchenko
DAL,Sergio De Larrea,deep,13.7,0.08,1.0959999999999999,15.0,6.0,27.0,False,,name::DAL::sergio de larrea
DEN,Nikola Jokić,starter,38.5,0.8729525904627359,33.60867473281533,66.0,56.0,75.0,True,203999.0,203999
DEN,Jamal Murray,starter,38.5,0.8306973739429112,31.98184889680208,66.0,56.0,76.0,True,1627750.0,1627750
DEN,Christian Braun,starter,38.5,0.7970304179946655,30.68567109279462,63.0,51.0,74.0,True,1631128.0,1631128
DEN,Cameron Johnson,starter,36.0,0.6862153359174602,24.703752093028566,58.0,45.0,71.0,True,1629661.0,1629661
DEN,Aaron Gordon,starter,34.3,0.6803657618137219,23.336545630210658,55.0,42.0,68.0,True,203932.0,203932
DEN,Trevon Brazile,rotation,26.0,0.72,18.72,62.0,49.0,74.0,True,,name::DEN::trevon brazile
DEN,Tyus Jones,rotation,19.9,0.8865644649483585,17.64263285247233,64.0,52.0,74.0,True,1626145.0,1626145
DEN,Marvin Bagley III,rotation,28.3,0.5721309827794685,16.191306812658958,59.0,46.0,72.0,True,1628963.0,1628963
DEN,Julian Strawther,rotation,20.9,0.7072057021940081,14.78059917585477,62.0,48.0,74.0,True,1631124.0,1631124
DEN,Zeke Nnaji,rotation,18.0,0.6491015317591995,11.68382757166559,62.0,49.0,74.0,True,1630192.0,1630192
DEN,KJ Simpson,deep,19.7,0.32424677187948353,6.387661406025825,42.0,25.0,59.0,True,1642354.0,1642354
DEN,Alpha Diallo,deep,15.4,0.27999999999999997,4.311999999999999,41.0,24.0,59.0,True,,name::DEN::alpha diallo
DEN,Bryce Hopkins,deep,15.4,0.22400000000000003,3.4496000000000007,34.0,18.0,50.0,True,,name::DEN::bryce hopkins
DEN,DaRon Holmes,deep,13.9,0.17920000000000003,2.49088,27.0,13.0,42.0,True,1641747.0,1641747
DET,Cade Cunningham,starter,38.4,0.7145760863733552,27.43972171673684,63.0,51.0,74.0,True,1630595.0,1630595
DET,Duncan Robinson,starter,30.6,0.8523691500413741,26.08249599126605,69.0,59.0,77.0,True,1629130.0,1629130
DET,Ausar Thompson,starter,30.5,0.8028176857111038,24.485939414188664,66.0,55.0,75.0,True,1641709.0,1641709
DET,Ron Holland,starter,24.6,0.9591104734576757,23.594117647058823,73.0,64.0,80.0,True,1641842.0,1641842
DET,Kevin Huerter,rotation,26.6,0.8533020595652787,22.697834784436417,64.0,51.0,75.0,True,1628989.0,1628989
DET,John Collins,starter,30.4,0.7430353263696641,22.588273921637786,62.0,51.0,74.0,True,1628381.0,1628381
DET,Isaiah Joe,rotation,25.2,0.8564415964439273,21.582328230386967,67.0,55.0,77.0,True,1630198.0,1630198
DET,Ebuka Okorie,rotation,23.4,0.72,16.848,63.0,50.0,74.0,True,,name::DET::ebuka okorie
DET,Daniss Jenkins,rotation,25.5,0.5394548063127691,13.756097560975611,66.0,54.0,75.0,True,1642450.0,1642450
